login,user_id,avatar_url,type,site_admin,total_commits,total_additions,total_deletions,weeks_active,rank_by_commits,rank_by_additions,rank_by_deletions
tlimoncelli,6293917,https://avatars.githubusercontent.com/u/6293917?v=4,User,false,1466,639219,1483531,302,1,1,1
cafferata,1150425,https://avatars.githubusercontent.com/u/1150425?v=4,User,false,214,187338,181396,72,2,2,3
dependabot[bot],49699333,https://avatars.githubusercontent.com/in/29110?v=4,Bot,false,134,697,513,82,3,43,23
TomOnTime,1389289,https://avatars.githubusercontent.com/u/1389289?v=4,User,false,83,7670,3617,21,4,10,6
costasd,16775698,https://avatars.githubusercontent.com/u/16775698?v=4,User,false,41,2069,1351,26,5,20,10
systemcrash,647633,https://avatars.githubusercontent.com/u/647633?v=4,User,false,35,5814,748,7,6,12,19
pgaskin,13909717,https://avatars.githubusercontent.com/u/13909717?v=4,User,false,33,10705,293420,12,7,8,2
captncraig,192540,https://avatars.githubusercontent.com/u/192540?v=4,User,false,31,174092,92803,18,8,3,4
das7pad,17931887,https://avatars.githubusercontent.com/u/17931887?v=4,User,false,31,166802,2915,20,9,4,7
patschi,2029878,https://avatars.githubusercontent.com/u/2029878?v=4,User,false,31,1513,715,21,10,25,20
jpbede,3989428,https://avatars.githubusercontent.com/u/3989428?v=4,User,false,24,2845,860,16,11,16,18
imlonghao,4951333,https://avatars.githubusercontent.com/u/4951333?v=4,User,false,20,3031,2232,19,12,15,8
blackshadev,2979104,https://avatars.githubusercontent.com/u/2979104?v=4,User,false,19,3197,1299,15,13,14,13
onlyhavecans,718435,https://avatars.githubusercontent.com/u/718435?v=4,User,false,16,2461,2169,12,14,18,9
philpennock,559098,https://avatars.githubusercontent.com/u/559098?v=4,User,false,15,721,177,9,15,42,34
Yannik,801996,https://avatars.githubusercontent.com/u/801996?v=4,User,false,15,472,173,5,16,58,36
j-f1,25517624,https://avatars.githubusercontent.com/u/25517624?v=4,User,false,15,8602,5358,10,17,9,5
hmoffatt,7577172,https://avatars.githubusercontent.com/u/7577172?v=4,User,false,14,394,162,9,18,63,38
eliheady,972727,https://avatars.githubusercontent.com/u/972727?v=4,User,false,13,1269,338,10,19,28,28
vatsalyagoel,8080336,https://avatars.githubusercontent.com/u/8080336?v=4,User,false,12,16623,490,9,20,7,25
willpower232,1619102,https://avatars.githubusercontent.com/u/1619102?v=4,User,false,12,1128,1231,9,21,30,14
xddxdd,5778879,https://avatars.githubusercontent.com/u/5778879?v=4,User,false,11,1712,191,11,22,23,32
fritterhoff,32478819,https://avatars.githubusercontent.com/u/32478819?v=4,User,false,11,610,80,9,23,48,54
pmoroney,8905568,https://avatars.githubusercontent.com/u/8905568?v=4,User,false,10,2118,516,7,24,19,22
riku22,37530178,https://avatars.githubusercontent.com/u/37530178?v=4,User,false,10,756,334,10,25,41,29
rblenkinsopp,715760,https://avatars.githubusercontent.com/u/715760?v=4,User,false,10,164184,1100,5,26,5,16
juliusrickert,5007494,https://avatars.githubusercontent.com/u/5007494?v=4,User,false,10,2756,956,7,27,17,17
SignalRichard,20459042,https://avatars.githubusercontent.com/u/20459042?v=4,User,false,10,562,154,3,28,54,40
tresni,210250,https://avatars.githubusercontent.com/u/210250?v=4,User,false,10,446,440,5,29,60,26
AsifNawaz-cnic,107853964,https://avatars.githubusercontent.com/u/107853964?v=4,User,false,9,1922,1327,8,30,22,11
tomfitzhenry,61303,https://avatars.githubusercontent.com/u/61303?v=4,User,false,9,261,39,5,31,71,69
jauderho,13562,https://avatars.githubusercontent.com/u/13562?v=4,User,false,9,194,70,6,32,74,61
MaxHorstmann,336447,https://avatars.githubusercontent.com/u/336447?v=4,User,false,9,427,129,3,33,62,42
cdhunt,114173,https://avatars.githubusercontent.com/u/114173?v=4,User,false,8,607,494,7,34,49,24
mikenz,6816,https://avatars.githubusercontent.com/u/6816?v=4,User,false,8,1063,248,4,35,32,30
kochie,10809884,https://avatars.githubusercontent.com/u/10809884?v=4,User,false,7,769,155,3,36,40,39
Firefishy,248188,https://avatars.githubusercontent.com/u/248188?v=4,User,false,7,82,14,6,37,86,77
Deraen,648087,https://avatars.githubusercontent.com/u/648087?v=4,User,false,7,6064,165,6,38,11,37
svenpeter42,1164048,https://avatars.githubusercontent.com/u/1164048?v=4,User,false,7,616,45,7,39,46,68
pragmaton,1083566,https://avatars.githubusercontent.com/u/1083566?v=4,User,false,7,783,9,4,40,39,83
nemunaire,682394,https://avatars.githubusercontent.com/u/682394?v=4,User,false,6,598,547,6,41,51,21
rbelnap,25594078,https://avatars.githubusercontent.com/u/25594078?v=4,User,false,6,157,75,4,42,78,57
fabienmazieres,31537139,https://avatars.githubusercontent.com/u/31537139?v=4,User,false,6,155,79,2,43,79,55
ad8-bdl,47653825,https://avatars.githubusercontent.com/u/47653825?v=4,User,false,6,1091,241,5,44,31,31
KaiSchwarz-cnic,229425,https://avatars.githubusercontent.com/u/229425?v=4,User,false,6,1132,1320,6,45,29,12
fuero,108815,https://avatars.githubusercontent.com/u/108815?v=4,User,false,6,490,114,3,46,57,46
SukkaW,40715044,https://avatars.githubusercontent.com/u/40715044?v=4,User,false,6,1279,32,3,47,27,71
koesie10,1112623,https://avatars.githubusercontent.com/u/1112623?v=4,User,true,6,3875,66,5,48,13,62
androw,593379,https://avatars.githubusercontent.com/u/593379?v=4,User,false,6,235,148,6,49,73,41
gucci-on-fleek,49086429,https://avatars.githubusercontent.com/u/49086429?v=4,User,false,6,116,90,6,50,82,51
masterzen,20242,https://avatars.githubusercontent.com/u/20242?v=4,User,false,5,306,66,5,51,66,64
p37ruh4,5363545,https://avatars.githubusercontent.com/u/5363545?v=4,User,false,5,280,116,3,52,68,45
D3luxee,10009528,https://avatars.githubusercontent.com/u/10009528?v=4,User,false,5,825,74,4,53,38,58
hnrgrgr,548907,https://avatars.githubusercontent.com/u/548907?v=4,User,false,5,1705,1208,5,54,24,15
ppmathis,1204969,https://avatars.githubusercontent.com/u/1204969?v=4,User,false,4,965,99,4,55,35,50
derekgottlieb,61840,https://avatars.githubusercontent.com/u/61840?v=4,User,false,4,105,10,2,56,83,80
PJEilers,22011466,https://avatars.githubusercontent.com/u/22011466?v=4,User,false,4,671,6,3,57,44,84
koenrh,1307291,https://avatars.githubusercontent.com/u/1307291?v=4,User,false,4,11,5,4,58,97,89
tiernano,116528,https://avatars.githubusercontent.com/u/116528?v=4,User,false,4,61,3,1,59,88,94
matteotrubini,7964032,https://avatars.githubusercontent.com/u/7964032?v=4,User,false,4,258,85,4,60,72,52
Veratil,2244945,https://avatars.githubusercontent.com/u/2244945?v=4,User,false,4,72,30,4,61,87,72
jamaltebi,51935048,https://avatars.githubusercontent.com/u/51935048?v=4,User,false,4,125,19,4,62,80,74
whs,345483,https://avatars.githubusercontent.com/u/345483?v=4,User,false,4,572,436,4,63,53,27
chicks-net,1099609,https://avatars.githubusercontent.com/u/1099609?v=4,User,false,4,454,100,4,64,59,49
svernick,108954676,https://avatars.githubusercontent.com/u/108954676?v=4,User,false,4,17,10,4,65,93,79
mhenderson-so,14789871,https://avatars.githubusercontent.com/u/14789871?v=4,User,false,4,49,5,3,66,90,87
SphericalKat,31761843,https://avatars.githubusercontent.com/u/31761843?v=4,User,false,4,583,5,3,67,52,86
KlettIT,71817167,https://avatars.githubusercontent.com/u/71817167?v=4,User,false,4,966,118,2,68,34,44
norman-zon,85173861,https://avatars.githubusercontent.com/u/85173861?v=4,User,false,4,84,123,3,69,84,43
jamesog,982184,https://avatars.githubusercontent.com/u/982184?v=4,User,false,4,160,105,2,70,77,48
asn-iac,134323752,https://avatars.githubusercontent.com/u/134323752?v=4,User,false,4,269,71,3,71,70,60
Mynacol,26695166,https://avatars.githubusercontent.com/u/26695166?v=4,User,false,3,51,25,2,72,89,73
huihuimoe,1707683,https://avatars.githubusercontent.com/u/1707683?v=4,User,false,3,947,60,2,73,37,65
bfirsh,40906,https://avatars.githubusercontent.com/u/40906?v=4,User,false,3,8,6,3,74,98,85
flz,48219,https://avatars.githubusercontent.com/u/48219?v=4,User,false,3,20,13,3,75,92,78
arnoschoon,4816186,https://avatars.githubusercontent.com/u/4816186?v=4,User,false,3,604,15,2,76,50,75
svernick-zz,78868407,https://avatars.githubusercontent.com/u/78868407?v=4,User,false,3,1432,82,3,77,26,53
jzhang-sre,66385638,https://avatars.githubusercontent.com/u/66385638?v=4,User,false,3,100393,112,2,78,6,47
vojtad,223731,https://avatars.githubusercontent.com/u/223731?v=4,User,false,3,955,10,3,79,36,81
saz,402629,https://avatars.githubusercontent.com/u/402629?v=4,User,false,3,4,4,2,80,100,93
kallsyms,4873259,https://avatars.githubusercontent.com/u/4873259?v=4,User,false,3,36,53,3,81,91,66
gvengel,3052395,https://avatars.githubusercontent.com/u/3052395?v=4,User,false,3,271,78,3,82,69,56
mratmeyer,17440617,https://avatars.githubusercontent.com/u/17440617?v=4,User,false,3,12,2,2,83,95,97
xtexx,46394906,https://avatars.githubusercontent.com/u/46394906?v=4,User,false,3,295,74,3,84,67,59
eratzlaff,1922470,https://avatars.githubusercontent.com/u/1922470?v=4,User,false,3,427,66,1,85,61,63
NickCraver,454813,https://avatars.githubusercontent.com/u/454813?v=4,User,true,3,16,4,1,86,94,92
kjacobsen,2404128,https://avatars.githubusercontent.com/u/2404128?v=4,User,false,3,12,4,3,87,96,90
matthewmgamble,2071390,https://avatars.githubusercontent.com/u/2071390?v=4,User,false,3,642,4,2,88,45,91
jonathanbouvier,20198520,https://avatars.githubusercontent.com/u/20198520?v=4,User,false,3,191,38,1,89,75,70
ebardsley,3459978,https://avatars.githubusercontent.com/u/3459978?v=4,User,false,3,335,183,2,90,64,33
llange,222432,https://avatars.githubusercontent.com/u/222432?v=4,User,false,3,166,50,2,91,76,67
IT-Sumpfling,13335853,https://avatars.githubusercontent.com/u/13335853?v=4,User,false,3,120,14,3,92,81,76
svenluijten,11269635,https://avatars.githubusercontent.com/u/11269635?v=4,User,false,3,316,2,3,93,65,98
christianbur,14313853,https://avatars.githubusercontent.com/u/14313853?v=4,User,false,2,5,3,2,94,99,95
kordianbruck,298860,https://avatars.githubusercontent.com/u/298860?v=4,User,false,2,507,5,2,95,56,88
Papakai,105912479,https://avatars.githubusercontent.com/u/105912479?v=4,User,false,2,1928,0,1,96,21,100
charliez0,20507989,https://avatars.githubusercontent.com/u/20507989?v=4,User,false,2,84,9,1,97,85,82
ttkzw,1509583,https://avatars.githubusercontent.com/u/1509583?v=4,User,false,2,970,2,2,98,33,99
misilot,1446856,https://avatars.githubusercontent.com/u/1446856?v=4,User,false,2,614,176,2,99,47,35
MisterErwin,1916723,https://avatars.githubusercontent.com/u/1916723?v=4,User,false,2,542,3,2,100,55,96
